ho,dl,err,gt,got
mediation,P(V2=1),1.6653345369377348e-16,0.44237803993537217,0.442378039935372
mediation,P(Y=1),0.0025719296675466574,0.4964508348361421,0.49902276450368876
mediation,ATE(Y | X),0.0,0.18499040911610487,0.18499040911610487
mediation,ETT(Y | X),0.0,0.18499040911610487,0.18499040911610487
mediation,NDE(Y | X),1.1102230246251565e-16,0.32612536232577916,0.32612536232577927
mediation,NIE(Y | X),2.7755575615628914e-17,-0.15429100381740454,-0.15429100381740457
mediation,P(Y=1 | X=1),0.0,0.7517320441178411,0.7517320441178411
mediation,P(Y=1 | X=0),0.0,0.41470614473290895,0.41470614473290895
mediation,P(X=1),4.440892098500626e-16,0.7941175182196163,0.7941175182196167
mediation,P(V2=1),1.1102230246251565e-16,0.6536447547288605,0.6536447547288604
mediation,P(Y=1),2.6405271965956878e-05,0.6823707208001716,0.6823443155282056
mediation,ATE(Y | X),0.0,0.33702589938493216,0.33702589938493216
mediation,ETT(Y | X),0.0,0.33702589938493216,0.33702589938493216
mediation,NDE(Y | X),4.440892098500626e-16,0.4293785315879481,0.42937853158794853
mediation,NIE(Y | X),1.1102230246251565e-16,-0.09219112701654397,-0.09219112701654408
mediation,P(Y=1 | X=1),1.6653345369377348e-16,0.4524413117841901,0.45244131178418995
mediation,P(Y=1 | X=0),5.551115123125783e-17,0.316659126194448,0.31665912619444797
mediation,P(X=1),4.440892098500626e-16,0.7680521507959197,0.7680521507959202
mediation,P(V2=1),3.885780586188048e-16,0.23790242119079014,0.23790242119078975
mediation,P(Y=1),0.0017295588028582998,0.4226764846792784,0.4209469258764201
mediation,ATE(Y | X),5.551115123125783e-17,0.1357821855897421,0.13578218558974203
mediation,ETT(Y | X),5.551115123125783e-17,0.1357821855897421,0.13578218558974203
mediation,NDE(Y | X),1.6653345369377348e-16,0.36574564621394057,0.36574564621394073
mediation,NIE(Y | X),3.885780586188048e-16,-0.22025491283653043,-0.22025491283653081
mediation,P(Y=1 | X=1),2.220446049250313e-16,0.8976258826370246,0.8976258826370248
mediation,P(Y=1 | X=0),1.1102230246251565e-16,0.33217969913898493,0.3321796991389848
mediation,P(X=1),3.3306690738754696e-16,0.7490134922507108,0.7490134922507111
mediation,P(V2=1),1.1102230246251565e-16,0.7864151320742796,0.7864151320742797
mediation,P(Y=1),8.928889203785317e-05,0.7556172308286503,0.7557065197206881
mediation,ATE(Y | X),3.3306690738754696e-16,0.5654461834980397,0.56544618349804
mediation,ETT(Y | X),3.3306690738754696e-16,0.5654461834980397,0.56544618349804
mediation,NDE(Y | X),2.220446049250313e-16,0.4685788817880886,0.4685788817880888
mediation,NIE(Y | X),3.885780586188048e-16,0.09639234129287383,0.09639234129287422
